construction.heuristic	flip.fct	step.fct	network.name	n	m	k	k.index	edge.connectivity	initial.max.flow	best.max.flow	first.interdiction.max.flow	best.search.max.flow	delta.cost.calculations	flips	non.improving.flips	tabu.searches.in.k	tabu.searches.in.G	list.of.max.flows	k.0	k.1	multiple	ex	k.4
3438	cut	cap	first	R-MAT.50.5.80.gexf	50	190	5	3	[11, 11, 11, 11]	12	6	6.0	inf	5115	0	0	0	0	[12.0, 6.0]	R-MAT	50	5	80	gexf
3439	cut	cap	first	R-MAT.50.5.80.gexf	50	190	10	4	[11, 11, 11, 11]	12	1	1.0	inf	5511	0	0	0	0	[12.0, 1.0]	R-MAT	50	5	80	gexf
3441	cut	cap	first	R-MAT.50.10.80.gexf	50	318	2	1	[13, 13, 13, 13]	28	18	18.0	inf	1321	0	0	0	0	[28.0, 18.0]	R-MAT	50	10	80	gexf
3442	cut	cap	first	R-MAT.50.10.80.gexf	50	318	3	2	[13, 13, 13, 13]	28	15	15.0	inf	1354	0	0	0	0	[28.0, 15.0]	R-MAT	50	10	80	gexf
3443	cut	cap	first	R-MAT.50.10.80.gexf	50	318	5	3	[13, 13, 13, 13]	28	9	10.0	9.0	1697	1	0	0	0	[28.0, 10.0, 9.0]	R-MAT	50	10	80	gexf
3444	cut	cap	first	R-MAT.50.10.80.gexf	50	318	10	4	[13, 13, 13, 13]	28	5	5.0	inf	3318	0	0	0	0	[28.0, 5.0]	R-MAT	50	10	80	gexf
3446	cut	cap	first	R-MAT.50.25.80.gexf	50	555	2	1	[24, 24, 24, 24]	72	53	53.0	inf	417	0	0	0	0	[72.0, 53.0]	R-MAT	50	25	80	gexf
3447	cut	cap	first	R-MAT.50.25.80.gexf	50	555	3	2	[24, 24, 24, 24]	72	47	47.0	inf	1754	0	0	0	0	[72.0, 47.0]	R-MAT	50	25	80	gexf
3448	cut	cap	first	R-MAT.50.25.80.gexf	50	555	5	3	[24, 24, 24, 24]	72	36	36.0	inf	686	0	0	0	0	[72.0, 36.0]	R-MAT	50	25	80	gexf
3449	cut	cap	first	R-MAT.50.25.80.gexf	50	555	10	4	[24, 24, 24, 24]	72	19	19.0	inf	1173	0	0	0	0	[72.0, 19.0]	R-MAT	50	25	80	gexf
3451	cut	cap	first	R-MAT.50.5.81.gexf	50	190	2	1	[9, 9, 9, 9]	11	7	8.0	7.0	3524	1	0	0	0	[11.0, 8.0, 7.0]	R-MAT	50	5	81	gexf
3452	cut	cap	first	R-MAT.50.5.81.gexf	50	190	3	2	[9, 9, 9, 9]	11	7	7.0	inf	4721	0	0	0	0	[11.0, 7.0]	R-MAT	50	5	81	gexf
3453	cut	cap	first	R-MAT.50.5.81.gexf	50	190	5	3	[9, 9, 9, 9]	11	5	5.0	inf	4968	0	0	0	0	[11.0, 5.0]	R-MAT	50	5	81	gexf
3456	cut	cap	first	R-MAT.50.10.81.gexf	50	332	2	1	[14, 14, 14, 14]	27	20	20.0	inf	2435	0	0	0	0	[27.0, 20.0]	R-MAT	50	10	81	gexf
3457	cut	cap	first	R-MAT.50.10.81.gexf	50	332	3	2	[14, 14, 14, 14]	27	18	18.0	inf	2019	0	0	0	0	[27.0, 18.0]	R-MAT	50	10	81	gexf
3458	cut	cap	first	R-MAT.50.10.81.gexf	50	332	5	3	[14, 14, 14, 14]	27	16	16.0	inf	2692	0	0	0	0	[27.0, 16.0]	R-MAT	50	10	81	gexf
3459	cut	cap	first	R-MAT.50.10.81.gexf	50	332	10	4	[14, 14, 14, 14]	27	11	11.0	inf	2877	0	0	0	0	[27.0, 11.0]	R-MAT	50	10	81	gexf
3461	cut	cap	first	R-MAT.50.25.81.gexf	50	585	2	1	[24, 24, 24, 24]	59	41	41.0	inf	833	0	0	0	0	[59.0, 41.0]	R-MAT	50	25	81	gexf
3462	cut	cap	first	R-MAT.50.25.81.gexf	50	585	3	2	[24, 24, 24, 24]	59	37	37.0	inf	844	0	0	0	0	[59.0, 37.0]	R-MAT	50	25	81	gexf
3463	cut	cap	first	R-MAT.50.25.81.gexf	50	585	5	3	[24, 24, 24, 24]	59	29	29.0	inf	795	0	0	0	0	[59.0, 29.0]	R-MAT	50	25	81	gexf
3464	cut	cap	first	R-MAT.50.25.81.gexf	50	585	10	4	[24, 24, 24, 24]	59	17	17.0	inf	2011	0	0	0	0	[59.0, 17.0]	R-MAT	50	25	81	gexf
3466	cut	cap	first	R-MAT.50.5.82.gexf	50	190	2	1	[8, 8, 8, 8]	8	6	6.0	inf	4613	0	0	0	0	[8.0, 6.0]	R-MAT	50	5	82	gexf
3467	cut	cap	first	R-MAT.50.5.82.gexf	50	190	3	2	[8, 8, 8, 8]	8	5	5.0	inf	4747	0	0	0	0	[8.0, 5.0]	R-MAT	50	5	82	gexf
3468	cut	cap	first	R-MAT.50.5.82.gexf	50	190	5	3	[8, 8, 8, 8]	8	3	3.0	inf	5020	0	0	0	0	[8.0, 3.0]	R-MAT	50	5	82	gexf
3471	cut	cap	first	R-MAT.50.10.82.gexf	50	325	2	1	[15, 15, 15, 15]	23	18	18.0	inf	1827	0	0	0	0	[23.0, 18.0]	R-MAT	50	10	82	gexf
3472	cut	cap	first	R-MAT.50.10.82.gexf	50	325	3	2	[15, 15, 15, 15]	23	16	16.0	inf	1848	0	0	0	0	[23.0, 16.0]	R-MAT	50	10	82	gexf
3473	cut	cap	first	R-MAT.50.10.82.gexf	50	325	5	3	[15, 15, 15, 15]	23	12	12.0	inf	1951	0	0	0	0	[23.0, 12.0]	R-MAT	50	10	82	gexf
3474	cut	cap	first	R-MAT.50.10.82.gexf	50	325	10	4	[15, 15, 15, 15]	23	5	5.0	inf	3409	0	0	0	0	[23.0, 5.0]	R-MAT	50	10	82	gexf
3476	cut	cap	first	R-MAT.50.25.82.gexf	50	567	2	1	[23, 23, 23, 23]	91	68	68.0	inf	1352	0	0	0	0	[91.0, 68.0]	R-MAT	50	25	82	gexf
3477	cut	cap	first	R-MAT.50.25.82.gexf	50	567	3	2	[23, 23, 23, 23]	91	61	61.0	inf	380	0	0	0	0	[91.0, 61.0]	R-MAT	50	25	82	gexf
3478	cut	cap	first	R-MAT.50.25.82.gexf	50	567	5	3	[23, 23, 23, 23]	91	49	51.0	49.0	543	1	0	0	0	[91.0, 51.0, 49.0]	R-MAT	50	25	82	gexf
3479	cut	cap	first	R-MAT.50.25.82.gexf	50	567	10	4	[23, 23, 23, 23]	91	26	29.0	26.0	1266	1	0	0	0	[91.0, 29.0, 26.0]	R-MAT	50	25	82	gexf
3481	cut	cap	first	R-MAT.50.5.83.gexf	50	168	2	1	[8, 8, 8, 8]	9	6	6.0	inf	5152	0	0	0	0	[9.0, 6.0]	R-MAT	50	5	83	gexf
3482	cut	cap	first	R-MAT.50.5.83.gexf	50	168	3	2	[8, 8, 8, 8]	9	5	5.0	inf	5419	0	0	0	0	[9.0, 5.0]	R-MAT	50	5	83	gexf
3483	cut	cap	first	R-MAT.50.5.83.gexf	50	168	5	3	[8, 8, 8, 8]	9	3	3.0	inf	5735	0	0	0	0	[9.0, 3.0]	R-MAT	50	5	83	gexf
3486	cut	cap	first	R-MAT.50.10.83.gexf	50	327	2	1	[12, 12, 12, 12]	18	13	13.0	inf	1881	0	0	0	0	[18.0, 13.0]	R-MAT	50	10	83	gexf
3487	cut	cap	first	R-MAT.50.10.83.gexf	50	327	3	2	[12, 12, 12, 12]	18	11	11.0	inf	1946	0	0	0	0	[18.0, 11.0]	R-MAT	50	10	83	gexf
3488	cut	cap	first	R-MAT.50.10.83.gexf	50	327	5	3	[12, 12, 12, 12]	18	7	8.0	7.0	2053	1	0	0	0	[18.0, 8.0, 7.0]	R-MAT	50	10	83	gexf
3489	cut	cap	first	R-MAT.50.10.83.gexf	50	327	10	4	[12, 12, 12, 12]	18	2	3.0	2.0	3380	1	0	0	0	[18.0, 3.0, 2.0]	R-MAT	50	10	83	gexf
3491	cut	cap	first	R-MAT.50.25.83.gexf	50	597	2	1	[25, 25, 25, 25]	74	56	56.0	inf	1489	0	0	0	0	[74.0, 56.0]	R-MAT	50	25	83	gexf
3492	cut	cap	first	R-MAT.50.25.83.gexf	50	597	3	2	[25, 25, 25, 25]	74	48	48.0	inf	558	0	0	0	0	[74.0, 48.0]	R-MAT	50	25	83	gexf
3493	cut	cap	first	R-MAT.50.25.83.gexf	50	597	5	3	[25, 25, 25, 25]	74	36	36.0	inf	655	0	0	0	0	[74.0, 36.0]	R-MAT	50	25	83	gexf
3494	cut	cap	first	R-MAT.50.25.83.gexf	50	597	10	4	[25, 25, 25, 25]	74	21	21.0	inf	1918	0	0	0	0	[74.0, 21.0]	R-MAT	50	25	83	gexf
3496	cut	cap	first	R-MAT.50.5.84.gexf	50	180	2	1	[7, 7, 7, 7]	14	5	8.0	5.0	2100	1	0	0	0	[14.0, 8.0, 5.0]	R-MAT	50	5	84	gexf
3497	cut	cap	first	R-MAT.50.5.84.gexf	50	180	3	2	[7, 7, 7, 7]	14	4	7.0	4.0	3615	2	0	0	0	[14.0, 7.0, 5.0, 4.0]	R-MAT	50	5	84	gexf
3498	cut	cap	first	R-MAT.50.5.84.gexf	50	180	5	3	[7, 7, 7, 7]	14	5	5.0	inf	5088	0	0	0	0	[14.0, 5.0]	R-MAT	50	5	84	gexf
3501	cut	cap	first	R-MAT.50.10.84.gexf	50	320	2	1	[10, 10, 10, 10]	15	10	10.0	inf	2059	0	0	0	0	[15.0, 10.0]	R-MAT	50	10	84	gexf
3502	cut	cap	first	R-MAT.50.10.84.gexf	50	320	3	2	[10, 10, 10, 10]	15	8	8.0	inf	2579	0	0	0	0	[15.0, 8.0]	R-MAT	50	10	84	gexf
3503	cut	cap	first	R-MAT.50.10.84.gexf	50	320	5	3	[10, 10, 10, 10]	15	6	6.0	inf	3469	0	0	0	0	[15.0, 6.0]	R-MAT	50	10	84	gexf
3506	cut	cap	first	R-MAT.50.25.84.gexf	50	567	2	1	[21, 21, 21, 21]	67	46	46.0	inf	544	0	0	0	0	[67.0, 46.0]	R-MAT	50	25	84	gexf
3507	cut	cap	first	R-MAT.50.25.84.gexf	50	567	3	2	[21, 21, 21, 21]	67	39	39.0	inf	837	0	0	0	0	[67.0, 39.0]	R-MAT	50	25	84	gexf
3508	cut	cap	first	R-MAT.50.25.84.gexf	50	567	5	3	[21, 21, 21, 21]	67	29	29.0	inf	631	0	0	0	0	[67.0, 29.0]	R-MAT	50	25	84	gexf
3509	cut	cap	first	R-MAT.50.25.84.gexf	50	567	10	4	[21, 21, 21, 21]	67	15	15.0	inf	1468	0	0	0	0	[67.0, 15.0]	R-MAT	50	25	84	gexf
3511	cut	cap	first	R-MAT.50.5.85.gexf	50	190	2	1	[12, 12, 12, 12]	13	10	10.0	inf	3905	0	0	0	0	[13.0, 10.0]	R-MAT	50	5	85	gexf
3512	cut	cap	first	R-MAT.50.5.85.gexf	50	190	3	2	[12, 12, 12, 12]	13	9	9.0	inf	4027	0	0	0	0	[13.0, 9.0]	R-MAT	50	5	85	gexf
3513	cut	cap	first	R-MAT.50.5.85.gexf	50	190	5	3	[12, 12, 12, 12]	13	7	7.0	inf	4563	0	0	0	0	[13.0, 7.0]	R-MAT	50	5	85	gexf
3514	cut	cap	first	R-MAT.50.5.85.gexf	50	190	10	4	[12, 12, 12, 12]	13	2	2.0	inf	5361	0	0	0	0	[13.0, 2.0]	R-MAT	50	5	85	gexf
3516	cut	cap	first	R-MAT.50.10.85.gexf	50	317	2	1	[14, 14, 14, 14]	30	23	23.0	inf	1222	0	0	0	0	[30.0, 23.0]	R-MAT	50	10	85	gexf
3517	cut	cap	first	R-MAT.50.10.85.gexf	50	317	3	2	[14, 14, 14, 14]	30	20	20.0	inf	1276	0	0	0	0	[30.0, 20.0]	R-MAT	50	10	85	gexf
3518	cut	cap	first	R-MAT.50.10.85.gexf	50	317	5	3	[14, 14, 14, 14]	30	14	14.0	inf	1570	0	0	0	0	[30.0, 14.0]	R-MAT	50	10	85	gexf
3519	cut	cap	first	R-MAT.50.10.85.gexf	50	317	10	4	[14, 14, 14, 14]	30	4	7.0	4.0	2427	3	0	0	0	[30.0, 7.0, 6.0, 5.0, 4.0]	R-MAT	50	10	85	gexf
3521	cut	cap	first	R-MAT.50.25.85.gexf	50	608	2	1	[25, 25, 25, 25]	76	54	54.0	inf	283	0	0	0	0	[76.0, 54.0]	R-MAT	50	25	85	gexf
3522	cut	cap	first	R-MAT.50.25.85.gexf	50	608	3	2	[25, 25, 25, 25]	76	45	45.0	inf	334	0	0	0	0	[76.0, 45.0]	R-MAT	50	25	85	gexf
3523	cut	cap	first	R-MAT.50.25.85.gexf	50	608	5	3	[25, 25, 25, 25]	76	31	31.0	inf	532	0	0	0	0	[76.0, 31.0]	R-MAT	50	25	85	gexf
3524	cut	cap	first	R-MAT.50.25.85.gexf	50	608	10	4	[25, 25, 25, 25]	76	18	18.0	inf	1493	0	0	0	0	[76.0, 18.0]	R-MAT	50	25	85	gexf
3526	cut	cap	first	R-MAT.50.5.86.gexf	50	187	2	1	[9, 9, 9, 9]	15	9	10.0	9.0	2126	1	0	0	0	[15.0, 10.0, 9.0]	R-MAT	50	5	86	gexf
3527	cut	cap	first	R-MAT.50.5.86.gexf	50	187	3	2	[9, 9, 9, 9]	15	7	8.0	7.0	3064	1	0	0	0	[15.0, 8.0, 7.0]	R-MAT	50	5	86	gexf
3528	cut	cap	first	R-MAT.50.5.86.gexf	50	187	5	3	[9, 9, 9, 9]	15	5	5.0	inf	4995	0	0	0	0	[15.0, 5.0]	R-MAT	50	5	86	gexf
3531	cut	cap	first	R-MAT.50.10.86.gexf	50	310	2	1	[17, 17, 17, 17]	35	23	23.0	inf	1043	0	0	0	0	[35.0, 23.0]	R-MAT	50	10	86	gexf
3532	cut	cap	first	R-MAT.50.10.86.gexf	50	310	3	2	[17, 17, 17, 17]	35	20	20.0	inf	1777	0	0	0	0	[35.0, 20.0]	R-MAT	50	10	86	gexf
3533	cut	cap	first	R-MAT.50.10.86.gexf	50	310	5	3	[17, 17, 17, 17]	35	15	16.0	15.0	1907	1	0	0	0	[35.0, 16.0, 15.0]	R-MAT	50	10	86	gexf
3534	cut	cap	first	R-MAT.50.10.86.gexf	50	310	10	4	[17, 17, 17, 17]	35	9	11.0	9.0	3227	2	0	0	0	[35.0, 11.0, 10.0, 9.0]	R-MAT	50	10	86	gexf
3536	cut	cap	first	R-MAT.50.25.86.gexf	50	581	2	1	[22, 22, 22, 22]	69	47	47.0	inf	484	0	0	0	0	[69.0, 47.0]	R-MAT	50	25	86	gexf
3537	cut	cap	first	R-MAT.50.25.86.gexf	50	581	3	2	[22, 22, 22, 22]	69	41	41.0	inf	643	0	0	0	0	[69.0, 41.0]	R-MAT	50	25	86	gexf
3538	cut	cap	first	R-MAT.50.25.86.gexf	50	581	5	3	[22, 22, 22, 22]	69	31	31.0	inf	736	0	0	0	0	[69.0, 31.0]	R-MAT	50	25	86	gexf
3539	cut	cap	first	R-MAT.50.25.86.gexf	50	581	10	4	[22, 22, 22, 22]	69	17	17.0	inf	1507	0	0	0	0	[69.0, 17.0]	R-MAT	50	25	86	gexf
3541	cut	cap	first	R-MAT.50.5.87.gexf	50	202	2	1	[6, 6, 6, 6]	7	4	4.0	inf	5018	0	0	0	0	[7.0, 4.0]	R-MAT	50	5	87	gexf
3542	cut	cap	first	R-MAT.50.5.87.gexf	50	202	3	2	[6, 6, 6, 6]	7	3	3.0	inf	5120	0	0	0	0	[7.0, 3.0]	R-MAT	50	5	87	gexf
3543	cut	cap	first	R-MAT.50.5.87.gexf	50	202	5	3	[6, 6, 6, 6]	7	1	1.0	inf	5301	0	0	0	0	[7.0, 1.0]	R-MAT	50	5	87	gexf
3546	cut	cap	first	R-MAT.50.10.87.gexf	50	318	2	1	[15, 15, 15, 15]	22	17	17.0	inf	2748	0	0	0	0	[22.0, 17.0]	R-MAT	50	10	87	gexf
3547	cut	cap	first	R-MAT.50.10.87.gexf	50	318	3	2	[15, 15, 15, 15]	22	16	16.0	inf	2816	0	0	0	0	[22.0, 16.0]	R-MAT	50	10	87	gexf
3548	cut	cap	first	R-MAT.50.10.87.gexf	50	318	5	3	[15, 15, 15, 15]	22	14	14.0	inf	2940	0	0	0	0	[22.0, 14.0]	R-MAT	50	10	87	gexf
3549	cut	cap	first	R-MAT.50.10.87.gexf	50	318	10	4	[15, 15, 15, 15]	22	9	9.0	inf	3266	0	0	0	0	[22.0, 9.0]	R-MAT	50	10	87	gexf
3551	cut	cap	first	R-MAT.50.25.87.gexf	50	578	2	1	[21, 21, 21, 21]	58	43	43.0	inf	1718	0	0	0	0	[58.0, 43.0]	R-MAT	50	25	87	gexf
3552	cut	cap	first	R-MAT.50.25.87.gexf	50	578	3	2	[21, 21, 21, 21]	58	38	38.0	inf	664	0	0	0	0	[58.0, 38.0]	R-MAT	50	25	87	gexf
3553	cut	cap	first	R-MAT.50.25.87.gexf	50	578	5	3	[21, 21, 21, 21]	58	29	29.0	inf	1840	0	0	0	0	[58.0, 29.0]	R-MAT	50	25	87	gexf
3554	cut	cap	first	R-MAT.50.25.87.gexf	50	578	10	4	[21, 21, 21, 21]	58	14	16.0	14.0	1989	1	0	0	0	[58.0, 16.0, 14.0]	R-MAT	50	25	87	gexf
3556	cut	cap	first	R-MAT.50.5.88.gexf	50	194	2	1	[7, 7, 7, 7]	9	5	5.0	inf	3874	0	0	0	0	[9.0, 5.0]	R-MAT	50	5	88	gexf
3557	cut	cap	first	R-MAT.50.5.88.gexf	50	194	3	2	[7, 7, 7, 7]	9	4	4.0	inf	5180	0	0	0	0	[9.0, 4.0]	R-MAT	50	5	88	gexf
3558	cut	cap	first	R-MAT.50.5.88.gexf	50	194	5	3	[7, 7, 7, 7]	9	2	2.0	inf	5297	0	0	0	0	[9.0, 2.0]	R-MAT	50	5	88	gexf
3561	cut	cap	first	R-MAT.50.10.88.gexf	50	302	2	1	[14, 14, 14, 14]	27	20	20.0	inf	1392	0	0	0	0	[27.0, 20.0]	R-MAT	50	10	88	gexf
3562	cut	cap	first	R-MAT.50.10.88.gexf	50	302	3	2	[14, 14, 14, 14]	27	17	17.0	inf	1898	0	0	0	0	[27.0, 17.0]	R-MAT	50	10	88	gexf
3563	cut	cap	first	R-MAT.50.10.88.gexf	50	302	5	3	[14, 14, 14, 14]	27	11	11.0	inf	2042	0	0	0	0	[27.0, 11.0]	R-MAT	50	10	88	gexf
3564	cut	cap	first	R-MAT.50.10.88.gexf	50	302	10	4	[14, 14, 14, 14]	27	4	4.0	inf	3623	0	0	0	0	[27.0, 4.0]	R-MAT	50	10	88	gexf
3566	cut	cap	first	R-MAT.50.25.88.gexf	50	550	2	1	[25, 25, 25, 25]	64	43	43.0	inf	327	0	0	0	0	[64.0, 43.0]	R-MAT	50	25	88	gexf
3567	cut	cap	first	R-MAT.50.25.88.gexf	50	550	3	2	[25, 25, 25, 25]	64	37	37.0	inf	551	0	0	0	0	[64.0, 37.0]	R-MAT	50	25	88	gexf
3568	cut	cap	first	R-MAT.50.25.88.gexf	50	550	5	3	[25, 25, 25, 25]	64	28	28.0	inf	1854	0	0	0	0	[64.0, 28.0]	R-MAT	50	25	88	gexf
3569	cut	cap	first	R-MAT.50.25.88.gexf	50	550	10	4	[25, 25, 25, 25]	64	16	16.0	inf	1456	0	0	0	0	[64.0, 16.0]	R-MAT	50	25	88	gexf
3571	cut	cap	first	R-MAT.50.5.89.gexf	50	196	2	1	[12, 12, 12, 12]	18	13	13.0	inf	2373	0	0	0	0	[18.0, 13.0]	R-MAT	50	5	89	gexf
3572	cut	cap	first	R-MAT.50.5.89.gexf	50	196	3	2	[12, 12, 12, 12]	18	11	11.0	inf	2992	0	0	0	0	[18.0, 11.0]	R-MAT	50	5	89	gexf
3573	cut	cap	first	R-MAT.50.5.89.gexf	50	196	5	3	[12, 12, 12, 12]	18	9	9.0	inf	4343	0	0	0	0	[18.0, 9.0]	R-MAT	50	5	89	gexf
3574	cut	cap	first	R-MAT.50.5.89.gexf	50	196	10	4	[12, 12, 12, 12]	18	4	4.0	inf	5214	0	0	0	0	[18.0, 4.0]	R-MAT	50	5	89	gexf
3576	cut	cap	first	R-MAT.50.10.89.gexf	50	316	2	1	[14, 14, 14, 14]	21	15	16.0	15.0	1310	1	0	0	0	[21.0, 16.0, 15.0]	R-MAT	50	10	89	gexf
3577	cut	cap	first	R-MAT.50.10.89.gexf	50	316	3	2	[14, 14, 14, 14]	21	13	14.0	13.0	2679	1	0	0	0	[21.0, 14.0, 13.0]	R-MAT	50	10	89	gexf
3578	cut	cap	first	R-MAT.50.10.89.gexf	50	316	5	3	[14, 14, 14, 14]	21	9	12.0	9.0	2943	2	0	0	0	[21.0, 12.0, 11.0, 9.0]	R-MAT	50	10	89	gexf
3579	cut	cap	first	R-MAT.50.10.89.gexf	50	316	10	4	[14, 14, 14, 14]	21	4	7.0	4.0	3190	3	0	0	0	[21.0, 7.0, 6.0, 5.0, 4.0]	R-MAT	50	10	89	gexf
3581	cut	cap	first	R-MAT.50.25.89.gexf	50	571	2	1	[25, 25, 25, 25]	81	59	59.0	inf	337	0	0	0	0	[81.0, 59.0]	R-MAT	50	25	89	gexf
3582	cut	cap	first	R-MAT.50.25.89.gexf	50	571	3	2	[25, 25, 25, 25]	81	52	52.0	inf	438	0	0	0	0	[81.0, 52.0]	R-MAT	50	25	89	gexf
3583	cut	cap	first	R-MAT.50.25.89.gexf	50	571	5	3	[25, 25, 25, 25]	81	39	39.0	inf	475	0	0	0	0	[81.0, 39.0]	R-MAT	50	25	89	gexf
3584	cut	cap	first	R-MAT.50.25.89.gexf	50	571	10	4	[25, 25, 25, 25]	81	18	18.0	inf	969	0	0	0	0	[81.0, 18.0]	R-MAT	50	25	89	gexf
3586	cut	cap	first	R-MAT.50.5.90.gexf	50	195	2	1	[9, 9, 9, 9]	16	8	11.0	8.0	1925	1	0	0	0	[16.0, 11.0, 8.0]	R-MAT	50	5	90	gexf
3587	cut	cap	first	R-MAT.50.5.90.gexf	50	195	3	2	[9, 9, 9, 9]	16	6	10.0	6.0	4065	1	0	0	0	[16.0, 10.0, 6.0]	R-MAT	50	5	90	gexf
3588	cut	cap	first	R-MAT.50.5.90.gexf	50	195	5	3	[9, 9, 9, 9]	16	4	8.0	4.0	4378	2	0	0	0	[16.0, 8.0, 5.0, 4.0]	R-MAT	50	5	90	gexf
3591	cut	cap	first	R-MAT.50.10.90.gexf	50	315	2	1	[14, 14, 14, 14]	29	19	19.0	inf	911	0	0	0	0	[29.0, 19.0]	R-MAT	50	10	90	gexf
3592	cut	cap	first	R-MAT.50.10.90.gexf	50	315	3	2	[14, 14, 14, 14]	29	15	15.0	inf	3123	0	0	0	0	[29.0, 15.0]	R-MAT	50	10	90	gexf
3593	cut	cap	first	R-MAT.50.10.90.gexf	50	315	5	3	[14, 14, 14, 14]	29	10	10.0	inf	2024	0	0	0	0	[29.0, 10.0]	R-MAT	50	10	90	gexf
3594	cut	cap	first	R-MAT.50.10.90.gexf	50	315	10	4	[14, 14, 14, 14]	29	4	4.0	inf	3602	0	0	0	0	[29.0, 4.0]	R-MAT	50	10	90	gexf
3596	cut	cap	first	R-MAT.50.25.90.gexf	50	571	2	1	[25, 25, 25, 25]	66	53	53.0	inf	1620	0	0	0	0	[66.0, 53.0]	R-MAT	50	25	90	gexf
3597	cut	cap	first	R-MAT.50.25.90.gexf	50	571	3	2	[25, 25, 25, 25]	66	48	48.0	inf	535	0	0	0	0	[66.0, 48.0]	R-MAT	50	25	90	gexf
3598	cut	cap	first	R-MAT.50.25.90.gexf	50	571	5	3	[25, 25, 25, 25]	66	41	41.0	inf	831	0	0	0	0	[66.0, 41.0]	R-MAT	50	25	90	gexf
3599	cut	cap	first	R-MAT.50.25.90.gexf	50	571	10	4	[25, 25, 25, 25]	66	26	26.0	inf	1273	0	0	0	0	[66.0, 26.0]	R-MAT	50	25	90	gexf
3601	cut	cap	first	R-MAT.50.5.91.gexf	50	199	2	1	[9, 9, 9, 9]	13	8	8.0	inf	2711	0	0	0	0	[13.0, 8.0]	R-MAT	50	5	91	gexf
3602	cut	cap	first	R-MAT.50.5.91.gexf	50	199	3	2	[9, 9, 9, 9]	13	6	6.0	inf	2878	0	0	0	0	[13.0, 6.0]	R-MAT	50	5	91	gexf
3603	cut	cap	first	R-MAT.50.5.91.gexf	50	199	5	3	[9, 9, 9, 9]	13	4	4.0	inf	4915	0	0	0	0	[13.0, 4.0]	R-MAT	50	5	91	gexf
3606	cut	cap	first	R-MAT.50.10.91.gexf	50	336	2	1	[15, 15, 15, 15]	27	18	18.0	inf	1620	0	0	0	0	[27.0, 18.0]	R-MAT	50	10	91	gexf
3607	cut	cap	first	R-MAT.50.10.91.gexf	50	336	3	2	[15, 15, 15, 15]	27	16	16.0	inf	1789	0	0	0	0	[27.0, 16.0]	R-MAT	50	10	91	gexf
3608	cut	cap	first	R-MAT.50.10.91.gexf	50	336	5	3	[15, 15, 15, 15]	27	12	12.0	inf	1863	0	0	0	0	[27.0, 12.0]	R-MAT	50	10	91	gexf
3609	cut	cap	first	R-MAT.50.10.91.gexf	50	336	10	4	[15, 15, 15, 15]	27	7	7.0	inf	3237	0	0	0	0	[27.0, 7.0]	R-MAT	50	10	91	gexf
3611	cut	cap	first	R-MAT.50.25.91.gexf	50	557	2	1	[24, 24, 24, 24]	66	54	54.0	inf	466	0	0	0	0	[66.0, 54.0]	R-MAT	50	25	91	gexf
3612	cut	cap	first	R-MAT.50.25.91.gexf	50	557	3	2	[24, 24, 24, 24]	66	48	48.0	inf	615	0	0	0	0	[66.0, 48.0]	R-MAT	50	25	91	gexf
3613	cut	cap	first	R-MAT.50.25.91.gexf	50	557	5	3	[24, 24, 24, 24]	66	38	38.0	inf	682	0	0	0	0	[66.0, 38.0]	R-MAT	50	25	91	gexf
3614	cut	cap	first	R-MAT.50.25.91.gexf	50	557	10	4	[24, 24, 24, 24]	66	21	21.0	inf	1120	0	0	0	0	[66.0, 21.0]	R-MAT	50	25	91	gexf
3616	cut	cap	first	R-MAT.50.5.92.gexf	50	185	2	1	[12, 12, 12, 12]	15	10	11.0	10.0	2861	1	0	0	0	[15.0, 11.0, 10.0]	R-MAT	50	5	92	gexf
3617	cut	cap	first	R-MAT.50.5.92.gexf	50	185	3	2	[12, 12, 12, 12]	15	10	10.0	inf	4454	0	0	0	0	[15.0, 10.0]	R-MAT	50	5	92	gexf
3618	cut	cap	first	R-MAT.50.5.92.gexf	50	185	5	3	[12, 12, 12, 12]	15	8	8.0	inf	5014	0	0	0	0	[15.0, 8.0]	R-MAT	50	5	92	gexf
3619	cut	cap	first	R-MAT.50.5.92.gexf	50	185	10	4	[12, 12, 12, 12]	15	3	3.0	inf	5393	0	0	0	0	[15.0, 3.0]	R-MAT	50	5	92	gexf
3621	cut	cap	first	R-MAT.50.10.92.gexf	50	326	2	1	[14, 14, 14, 14]	23	14	14.0	inf	1361	0	0	0	0	[23.0, 14.0]	R-MAT	50	10	92	gexf
3622	cut	cap	first	R-MAT.50.10.92.gexf	50	326	3	2	[14, 14, 14, 14]	23	12	12.0	inf	1947	0	0	0	0	[23.0, 12.0]	R-MAT	50	10	92	gexf
3623	cut	cap	first	R-MAT.50.10.92.gexf	50	326	5	3	[14, 14, 14, 14]	23	9	9.0	inf	3286	0	0	0	0	[23.0, 9.0]	R-MAT	50	10	92	gexf
3624	cut	cap	first	R-MAT.50.10.92.gexf	50	326	10	4	[14, 14, 14, 14]	23	4	4.0	inf	3494	0	0	0	0	[23.0, 4.0]	R-MAT	50	10	92	gexf
3626	cut	cap	first	R-MAT.50.25.92.gexf	50	565	2	1	[22, 22, 22, 22]	82	61	61.0	inf	285	0	0	0	0	[82.0, 61.0]	R-MAT	50	25	92	gexf
