construction.heuristic	flip.fct	step.fct	network.name	n	m	k	k.index	edge.connectivity	initial.max.flow	best.max.flow	first.interdiction.max.flow	best.search.max.flow	delta.cost.calculations	flips	non.improving.flips	tabu.searches.in.k	tabu.searches.in.G	list.of.max.flows	k.0	k.1	multiple	ex	k.4	mem	constant	best
3369	cut	cap	first	R-MAT.50.10.75.gexf	50	307	10	4	[11, 11, 11, 11]	23	5	5.0	inf	3557	0	0	0	0	[23.0, 5.0]	R-MAT	50	10	75	gexf	11	2.2	0
3371	cut	cap	first	R-MAT.50.25.75.gexf	50	580	2	1	[25, 25, 25, 25]	65	49	49.0	inf	695	0	0	0	0	[65.0, 49.0]	R-MAT	50	25	75	gexf	65	1.3265306122449	0.5
3372	cut	cap	first	R-MAT.50.25.75.gexf	50	580	3	2	[25, 25, 25, 25]	65	43	43.0	inf	527	0	0	0	0	[65.0, 43.0]	R-MAT	50	25	75	gexf	65	1.51162790697674	0.5
3373	cut	cap	first	R-MAT.50.25.75.gexf	50	580	5	3	[25, 25, 25, 25]	65	31	31.0	inf	601	0	0	0	0	[65.0, 31.0]	R-MAT	50	25	75	gexf	65	2.09677419354839	0.5
3374	cut	cap	first	R-MAT.50.25.75.gexf	50	580	10	4	[25, 25, 25, 25]	65	17	17.0	inf	1666	0	0	0	0	[65.0, 17.0]	R-MAT	50	25	75	gexf	56.8333333333333	3.34313725490196	0.5
3376	cut	cap	first	R-MAT.50.5.76.gexf	50	196	2	1	[9, 9, 9, 9]	10	7	7.0	inf	4962	0	0	0	0	[10.0, 7.0]	R-MAT	50	5	76	gexf	10	1.42857142857143	0.5
3377	cut	cap	first	R-MAT.50.5.76.gexf	50	196	3	2	[9, 9, 9, 9]	10	6	6.0	inf	5053	0	0	0	0	[10.0, 6.0]	R-MAT	50	5	76	gexf	10	1.66666666666667	0.5
3378	cut	cap	first	R-MAT.50.5.76.gexf	50	196	5	3	[9, 9, 9, 9]	10	4	4.0	inf	5209	0	0	0	0	[10.0, 4.0]	R-MAT	50	5	76	gexf	9.6	2.4	0.5
3381	cut	cap	first	R-MAT.50.10.76.gexf	50	301	2	1	[19, 19, 19, 19]	29	24	24.0	inf	1682	0	0	0	0	[29.0, 24.0]	R-MAT	50	10	76	gexf	29	1.20833333333333	0
3382	cut	cap	first	R-MAT.50.10.76.gexf	50	301	3	2	[19, 19, 19, 19]	29	22	22.0	inf	1735	0	0	0	0	[29.0, 22.0]	R-MAT	50	10	76	gexf	29	1.31818181818182	0
3383	cut	cap	first	R-MAT.50.10.76.gexf	50	301	5	3	[19, 19, 19, 19]	29	20	20.0	inf	2742	0	0	0	0	[29.0, 20.0]	R-MAT	50	10	76	gexf	29	1.45	0
3384	cut	cap	first	R-MAT.50.10.76.gexf	50	301	10	4	[19, 19, 19, 19]	29	15	15.0	inf	3080	0	0	0	0	[29.0, 15.0]	R-MAT	50	10	76	gexf	26.7142857142857	1.78095238095238	0
3386	cut	cap	first	R-MAT.50.25.76.gexf	50	582	2	1	[22, 22, 22, 22]	63	42	42.0	inf	1704	0	0	0	0	[63.0, 42.0]	R-MAT	50	25	76	gexf	63	1.5	0.5
3387	cut	cap	first	R-MAT.50.25.76.gexf	50	582	3	2	[22, 22, 22, 22]	63	36	36.0	inf	460	0	0	0	0	[63.0, 36.0]	R-MAT	50	25	76	gexf	63	1.75	0.5
3388	cut	cap	first	R-MAT.50.25.76.gexf	50	582	5	3	[22, 22, 22, 22]	63	29	29.0	inf	850	0	0	0	0	[63.0, 29.0]	R-MAT	50	25	76	gexf	61.2	2.11034482758621	0.5
3389	cut	cap	first	R-MAT.50.25.76.gexf	50	582	10	4	[22, 22, 22, 22]	63	17	17.0	inf	1242	0	0	0	0	[63.0, 17.0]	R-MAT	50	25	76	gexf	49.5	2.91176470588235	0.5
3391	cut	cap	first	R-MAT.50.5.77.gexf	50	186	2	1	[10, 10, 10, 10]	12	9	9.0	inf	4117	0	0	0	0	[12.0, 9.0]	R-MAT	50	5	77	gexf	12	1.33333333333333	0.5
3392	cut	cap	first	R-MAT.50.5.77.gexf	50	186	3	2	[10, 10, 10, 10]	12	8	8.0	inf	4373	0	0	0	0	[12.0, 8.0]	R-MAT	50	5	77	gexf	12	1.5	0.5
3393	cut	cap	first	R-MAT.50.5.77.gexf	50	186	5	3	[10, 10, 10, 10]	12	6	6.0	inf	4682	0	0	0	0	[12.0, 6.0]	R-MAT	50	5	77	gexf	12	2	0
3396	cut	cap	first	R-MAT.50.10.77.gexf	50	318	2	1	[17, 17, 17, 17]	31	23	25.0	23.0	1436	1	0	0	0	[31.0, 25.0, 23.0]	R-MAT	50	10	77	gexf	31	1.34782608695652	0.5
3397	cut	cap	first	R-MAT.50.10.77.gexf	50	318	3	2	[17, 17, 17, 17]	31	21	23.0	21.0	1769	1	0	0	0	[31.0, 23.0, 21.0]	R-MAT	50	10	77	gexf	31	1.47619047619048	0.5
3398	cut	cap	first	R-MAT.50.10.77.gexf	50	318	5	3	[17, 17, 17, 17]	31	17	19.0	17.0	1793	1	0	0	0	[31.0, 19.0, 17.0]	R-MAT	50	10	77	gexf	31	1.82352941176471	0.5
3399	cut	cap	first	R-MAT.50.10.77.gexf	50	318	10	4	[17, 17, 17, 17]	31	13	13.0	inf	3046	0	0	0	0	[31.0, 13.0]	R-MAT	50	10	77	gexf	28.1111111111111	2.16239316239316	0
3401	cut	cap	first	R-MAT.50.25.77.gexf	50	580	2	1	[22, 22, 22, 22]	71	52	52.0	inf	388	0	0	0	0	[71.0, 52.0]	R-MAT	50	25	77	gexf	71	1.36538461538462	0.5
3402	cut	cap	first	R-MAT.50.25.77.gexf	50	580	3	2	[22, 22, 22, 22]	71	46	46.0	inf	529	0	0	0	0	[71.0, 46.0]	R-MAT	50	25	77	gexf	71	1.54347826086957	0.5
3403	cut	cap	first	R-MAT.50.25.77.gexf	50	580	5	3	[22, 22, 22, 22]	71	34	34.0	inf	659	0	0	0	0	[71.0, 34.0]	R-MAT	50	25	77	gexf	71	2.08823529411765	0.5
3404	cut	cap	first	R-MAT.50.25.77.gexf	50	580	10	4	[22, 22, 22, 22]	71	14	14.0	inf	1241	0	0	0	0	[71.0, 14.0]	R-MAT	50	25	77	gexf	62.3333333333333	4.45238095238095	0.5
3406	cut	cap	first	R-MAT.50.5.78.gexf	50	192	2	1	[8, 8, 8, 8]	10	6	6.0	inf	3621	0	0	0	0	[10.0, 6.0]	R-MAT	50	5	78	gexf	10	1.66666666666667	0.5
3407	cut	cap	first	R-MAT.50.5.78.gexf	50	192	3	2	[8, 8, 8, 8]	10	5	5.0	inf	4766	0	0	0	0	[10.0, 5.0]	R-MAT	50	5	78	gexf	10	2	0.5
3408	cut	cap	first	R-MAT.50.5.78.gexf	50	192	5	3	[8, 8, 8, 8]	10	3	3.0	inf	5082	0	0	0	0	[10.0, 3.0]	R-MAT	50	5	78	gexf	9	3	0.5
3411	cut	cap	first	R-MAT.50.10.78.gexf	50	312	2	1	[11, 11, 11, 11]	27	19	19.0	inf	1338	0	0	0	0	[27.0, 19.0]	R-MAT	50	10	78	gexf	27	1.42105263157895	0.5
3412	cut	cap	first	R-MAT.50.10.78.gexf	50	312	3	2	[11, 11, 11, 11]	27	14	17.0	14.0	1349	2	0	0	0	[27.0, 17.0, 16.0, 14.0]	R-MAT	50	10	78	gexf	27	1.92857142857143	0.5
3413	cut	cap	first	R-MAT.50.10.78.gexf	50	312	5	3	[11, 11, 11, 11]	27	9	14.0	9.0	1921	2	0	0	0	[27.0, 14.0, 12.0, 9.0]	R-MAT	50	10	78	gexf	26.4	2.93333333333333	0.5
3414	cut	cap	first	R-MAT.50.10.78.gexf	50	312	10	4	[11, 11, 11, 11]	27	9	9.0	inf	3188	0	0	0	0	[27.0, 9.0]	R-MAT	50	10	78	gexf	11	1.22222222222222	0
3416	cut	cap	first	R-MAT.50.25.78.gexf	50	586	2	1	[22, 22, 22, 22]	71	51	51.0	inf	344	0	0	0	0	[71.0, 51.0]	R-MAT	50	25	78	gexf	71	1.3921568627451	0.5
3417	cut	cap	first	R-MAT.50.25.78.gexf	50	586	3	2	[22, 22, 22, 22]	71	43	43.0	inf	455	0	0	0	0	[71.0, 43.0]	R-MAT	50	25	78	gexf	71	1.65116279069767	0.5
3418	cut	cap	first	R-MAT.50.25.78.gexf	50	586	5	3	[22, 22, 22, 22]	71	31	31.0	inf	725	0	0	0	0	[71.0, 31.0]	R-MAT	50	25	78	gexf	71	2.29032258064516	0.5
3419	cut	cap	first	R-MAT.50.25.78.gexf	50	586	10	4	[22, 22, 22, 22]	71	15	15.0	inf	1220	0	0	0	0	[71.0, 15.0]	R-MAT	50	25	78	gexf	56.8333333333333	3.78888888888889	0.5
3421	cut	cap	first	R-MAT.50.5.79.gexf	50	196	2	1	[8, 8, 8, 8]	9	6	6.0	inf	4910	0	0	0	0	[9.0, 6.0]	R-MAT	50	5	79	gexf	9	1.5	0.5
3422	cut	cap	first	R-MAT.50.5.79.gexf	50	196	3	2	[8, 8, 8, 8]	9	5	5.0	inf	4941	0	0	0	0	[9.0, 5.0]	R-MAT	50	5	79	gexf	9	1.8	0.5
3423	cut	cap	first	R-MAT.50.5.79.gexf	50	196	5	3	[8, 8, 8, 8]	9	3	3.0	inf	5157	0	0	0	0	[9.0, 3.0]	R-MAT	50	5	79	gexf	8.4	2.8	0.5
3426	cut	cap	first	R-MAT.50.10.79.gexf	50	315	2	1	[14, 14, 14, 14]	27	19	19.0	inf	1262	0	0	0	0	[27.0, 19.0]	R-MAT	50	10	79	gexf	27	1.42105263157895	0.5
3427	cut	cap	first	R-MAT.50.10.79.gexf	50	315	3	2	[14, 14, 14, 14]	27	17	17.0	inf	1790	0	0	0	0	[27.0, 17.0]	R-MAT	50	10	79	gexf	27	1.58823529411765	0
3428	cut	cap	first	R-MAT.50.10.79.gexf	50	315	5	3	[14, 14, 14, 14]	27	13	15.0	13.0	1881	2	0	0	0	[27.0, 15.0, 14.0, 13.0]	R-MAT	50	10	79	gexf	27	2.07692307692308	0
3429	cut	cap	first	R-MAT.50.10.79.gexf	50	315	10	4	[14, 14, 14, 14]	27	9	10.0	9.0	3073	1	0	0	0	[27.0, 10.0, 9.0]	R-MAT	50	10	79	gexf	19.25	2.13888888888889	0
3431	cut	cap	first	R-MAT.50.25.79.gexf	50	570	2	1	[22, 22, 22, 22]	68	49	49.0	inf	1505	0	0	0	0	[68.0, 49.0]	R-MAT	50	25	79	gexf	68	1.38775510204082	0.5
3432	cut	cap	first	R-MAT.50.25.79.gexf	50	570	3	2	[22, 22, 22, 22]	68	42	42.0	inf	539	0	0	0	0	[68.0, 42.0]	R-MAT	50	25	79	gexf	68	1.61904761904762	0.5
3433	cut	cap	first	R-MAT.50.25.79.gexf	50	570	5	3	[22, 22, 22, 22]	68	30	30.0	inf	662	0	0	0	0	[68.0, 30.0]	R-MAT	50	25	79	gexf	68	2.26666666666667	0.5
3434	cut	cap	first	R-MAT.50.25.79.gexf	50	570	10	4	[22, 22, 22, 22]	68	15	15.0	inf	1336	0	0	0	0	[68.0, 15.0]	R-MAT	50	25	79	gexf	55	3.66666666666667	0.5
3436	cut	cap	first	R-MAT.50.5.80.gexf	50	190	2	1	[11, 11, 11, 11]	12	9	9.0	inf	4924	0	0	0	0	[12.0, 9.0]	R-MAT	50	5	80	gexf	12	1.33333333333333	0.5
3437	cut	cap	first	R-MAT.50.5.80.gexf	50	190	3	2	[11, 11, 11, 11]	12	8	8.0	inf	4906	0	0	0	0	[12.0, 8.0]	R-MAT	50	5	80	gexf	12	1.5	0.5
3438	cut	cap	first	R-MAT.50.5.80.gexf	50	190	5	3	[11, 11, 11, 11]	12	6	6.0	inf	5115	0	0	0	0	[12.0, 6.0]	R-MAT	50	5	80	gexf	12	2	0.5
3439	cut	cap	first	R-MAT.50.5.80.gexf	50	190	10	4	[11, 11, 11, 11]	12	1	1.0	inf	5511	0	0	0	0	[12.0, 1.0]	R-MAT	50	5	80	gexf	11	11	0.5
3441	cut	cap	first	R-MAT.50.10.80.gexf	50	318	2	1	[13, 13, 13, 13]	28	18	18.0	inf	1321	0	0	0	0	[28.0, 18.0]	R-MAT	50	10	80	gexf	28	1.55555555555556	0.5
3442	cut	cap	first	R-MAT.50.10.80.gexf	50	318	3	2	[13, 13, 13, 13]	28	15	15.0	inf	1354	0	0	0	0	[28.0, 15.0]	R-MAT	50	10	80	gexf	28	1.86666666666667	0.5
3443	cut	cap	first	R-MAT.50.10.80.gexf	50	318	5	3	[13, 13, 13, 13]	28	9	10.0	9.0	1697	1	0	0	0	[28.0, 10.0, 9.0]	R-MAT	50	10	80	gexf	27	3	0.5
3444	cut	cap	first	R-MAT.50.10.80.gexf	50	318	10	4	[13, 13, 13, 13]	28	5	5.0	inf	3318	0	0	0	0	[28.0, 5.0]	R-MAT	50	10	80	gexf	15.4	3.08	0
3446	cut	cap	first	R-MAT.50.25.80.gexf	50	555	2	1	[24, 24, 24, 24]	72	53	53.0	inf	417	0	0	0	0	[72.0, 53.0]	R-MAT	50	25	80	gexf	72	1.35849056603774	0.5
3447	cut	cap	first	R-MAT.50.25.80.gexf	50	555	3	2	[24, 24, 24, 24]	72	47	47.0	inf	1754	0	0	0	0	[72.0, 47.0]	R-MAT	50	25	80	gexf	72	1.53191489361702	0.5
3448	cut	cap	first	R-MAT.50.25.80.gexf	50	555	5	3	[24, 24, 24, 24]	72	36	36.0	inf	686	0	0	0	0	[72.0, 36.0]	R-MAT	50	25	80	gexf	72	2	0.5
3449	cut	cap	first	R-MAT.50.25.80.gexf	50	555	10	4	[24, 24, 24, 24]	72	19	19.0	inf	1173	0	0	0	0	[72.0, 19.0]	R-MAT	50	25	80	gexf	64.4285714285714	3.39097744360902	0.5
3451	cut	cap	first	R-MAT.50.5.81.gexf	50	190	2	1	[9, 9, 9, 9]	11	7	8.0	7.0	3524	1	0	0	0	[11.0, 8.0, 7.0]	R-MAT	50	5	81	gexf	11	1.57142857142857	0.5
3452	cut	cap	first	R-MAT.50.5.81.gexf	50	190	3	2	[9, 9, 9, 9]	11	7	7.0	inf	4721	0	0	0	0	[11.0, 7.0]	R-MAT	50	5	81	gexf	11	1.57142857142857	0
3453	cut	cap	first	R-MAT.50.5.81.gexf	50	190	5	3	[9, 9, 9, 9]	11	5	5.0	inf	4968	0	0	0	0	[11.0, 5.0]	R-MAT	50	5	81	gexf	10.5	2.1	0
3456	cut	cap	first	R-MAT.50.10.81.gexf	50	332	2	1	[14, 14, 14, 14]	27	20	20.0	inf	2435	0	0	0	0	[27.0, 20.0]	R-MAT	50	10	81	gexf	27	1.35	0.5
3457	cut	cap	first	R-MAT.50.10.81.gexf	50	332	3	2	[14, 14, 14, 14]	27	18	18.0	inf	2019	0	0	0	0	[27.0, 18.0]	R-MAT	50	10	81	gexf	27	1.5	0.5
3458	cut	cap	first	R-MAT.50.10.81.gexf	50	332	5	3	[14, 14, 14, 14]	27	16	16.0	inf	2692	0	0	0	0	[27.0, 16.0]	R-MAT	50	10	81	gexf	26.4	1.65	0
3459	cut	cap	first	R-MAT.50.10.81.gexf	50	332	10	4	[14, 14, 14, 14]	27	11	11.0	inf	2877	0	0	0	0	[27.0, 11.0]	R-MAT	50	10	81	gexf	24.2	2.2	0
3461	cut	cap	first	R-MAT.50.25.81.gexf	50	585	2	1	[24, 24, 24, 24]	59	41	41.0	inf	833	0	0	0	0	[59.0, 41.0]	R-MAT	50	25	81	gexf	59	1.4390243902439	0.5
3462	cut	cap	first	R-MAT.50.25.81.gexf	50	585	3	2	[24, 24, 24, 24]	59	37	37.0	inf	844	0	0	0	0	[59.0, 37.0]	R-MAT	50	25	81	gexf	59	1.59459459459459	0.5
3463	cut	cap	first	R-MAT.50.25.81.gexf	50	585	5	3	[24, 24, 24, 24]	59	29	29.0	inf	795	0	0	0	0	[59.0, 29.0]	R-MAT	50	25	81	gexf	57.6	1.98620689655172	0.5
3464	cut	cap	first	R-MAT.50.25.81.gexf	50	585	10	4	[24, 24, 24, 24]	59	17	17.0	inf	2011	0	0	0	0	[59.0, 17.0]	R-MAT	50	25	81	gexf	50.1111111111111	2.94771241830065	0.5
3466	cut	cap	first	R-MAT.50.5.82.gexf	50	190	2	1	[8, 8, 8, 8]	8	6	6.0	inf	4613	0	0	0	0	[8.0, 6.0]	R-MAT	50	5	82	gexf	8	1.33333333333333	0.5
3467	cut	cap	first	R-MAT.50.5.82.gexf	50	190	3	2	[8, 8, 8, 8]	8	5	5.0	inf	4747	0	0	0	0	[8.0, 5.0]	R-MAT	50	5	82	gexf	8	1.6	0.5
3468	cut	cap	first	R-MAT.50.5.82.gexf	50	190	5	3	[8, 8, 8, 8]	8	3	3.0	inf	5020	0	0	0	0	[8.0, 3.0]	R-MAT	50	5	82	gexf	8	2.66666666666667	0.5
3471	cut	cap	first	R-MAT.50.10.82.gexf	50	325	2	1	[15, 15, 15, 15]	23	18	18.0	inf	1827	0	0	0	0	[23.0, 18.0]	R-MAT	50	10	82	gexf	23	1.27777777777778	0.5
3472	cut	cap	first	R-MAT.50.10.82.gexf	50	325	3	2	[15, 15, 15, 15]	23	16	16.0	inf	1848	0	0	0	0	[23.0, 16.0]	R-MAT	50	10	82	gexf	23	1.4375	0.5
3473	cut	cap	first	R-MAT.50.10.82.gexf	50	325	5	3	[15, 15, 15, 15]	23	12	12.0	inf	1951	0	0	0	0	[23.0, 12.0]	R-MAT	50	10	82	gexf	23	1.91666666666667	0.5
3474	cut	cap	first	R-MAT.50.10.82.gexf	50	325	10	4	[15, 15, 15, 15]	23	5	5.0	inf	3409	0	0	0	0	[23.0, 5.0]	R-MAT	50	10	82	gexf	22	4.4	0.5
3476	cut	cap	first	R-MAT.50.25.82.gexf	50	567	2	1	[23, 23, 23, 23]	91	68	68.0	inf	1352	0	0	0	0	[91.0, 68.0]	R-MAT	50	25	82	gexf	91	1.33823529411765	0.5
3477	cut	cap	first	R-MAT.50.25.82.gexf	50	567	3	2	[23, 23, 23, 23]	91	61	61.0	inf	380	0	0	0	0	[91.0, 61.0]	R-MAT	50	25	82	gexf	91	1.49180327868852	0.5
3478	cut	cap	first	R-MAT.50.25.82.gexf	50	567	5	3	[23, 23, 23, 23]	91	49	51.0	49.0	543	1	0	0	0	[91.0, 51.0, 49.0]	R-MAT	50	25	82	gexf	91	1.85714285714286	0.5
3479	cut	cap	first	R-MAT.50.25.82.gexf	50	567	10	4	[23, 23, 23, 23]	91	26	29.0	26.0	1266	1	0	0	0	[91.0, 29.0, 26.0]	R-MAT	50	25	82	gexf	83.1111111111111	3.1965811965812	0.5
3481	cut	cap	first	R-MAT.50.5.83.gexf	50	168	2	1	[8, 8, 8, 8]	9	6	6.0	inf	5152	0	0	0	0	[9.0, 6.0]	R-MAT	50	5	83	gexf	9	1.5	0.5
3482	cut	cap	first	R-MAT.50.5.83.gexf	50	168	3	2	[8, 8, 8, 8]	9	5	5.0	inf	5419	0	0	0	0	[9.0, 5.0]	R-MAT	50	5	83	gexf	9	1.8	0
3483	cut	cap	first	R-MAT.50.5.83.gexf	50	168	5	3	[8, 8, 8, 8]	9	3	3.0	inf	5735	0	0	0	0	[9.0, 3.0]	R-MAT	50	5	83	gexf	8.4	2.8	0.5
3486	cut	cap	first	R-MAT.50.10.83.gexf	50	327	2	1	[12, 12, 12, 12]	18	13	13.0	inf	1881	0	0	0	0	[18.0, 13.0]	R-MAT	50	10	83	gexf	18	1.38461538461538	0.5
3487	cut	cap	first	R-MAT.50.10.83.gexf	50	327	3	2	[12, 12, 12, 12]	18	11	11.0	inf	1946	0	0	0	0	[18.0, 11.0]	R-MAT	50	10	83	gexf	18	1.63636363636364	0.5
3488	cut	cap	first	R-MAT.50.10.83.gexf	50	327	5	3	[12, 12, 12, 12]	18	7	8.0	7.0	2053	1	0	0	0	[18.0, 8.0, 7.0]	R-MAT	50	10	83	gexf	18	2.57142857142857	0.5
3489	cut	cap	first	R-MAT.50.10.83.gexf	50	327	10	4	[12, 12, 12, 12]	18	2	3.0	2.0	3380	1	0	0	0	[18.0, 3.0, 2.0]	R-MAT	50	10	83	gexf	12.8333333333333	6.41666666666667	0.5
3491	cut	cap	first	R-MAT.50.25.83.gexf	50	597	2	1	[25, 25, 25, 25]	74	56	56.0	inf	1489	0	0	0	0	[74.0, 56.0]	R-MAT	50	25	83	gexf	74	1.32142857142857	0.5
3492	cut	cap	first	R-MAT.50.25.83.gexf	50	597	3	2	[25, 25, 25, 25]	74	48	48.0	inf	558	0	0	0	0	[74.0, 48.0]	R-MAT	50	25	83	gexf	74	1.54166666666667	0.5
3493	cut	cap	first	R-MAT.50.25.83.gexf	50	597	5	3	[25, 25, 25, 25]	74	36	36.0	inf	655	0	0	0	0	[74.0, 36.0]	R-MAT	50	25	83	gexf	74	2.05555555555556	0.5
3494	cut	cap	first	R-MAT.50.25.83.gexf	50	597	10	4	[25, 25, 25, 25]	74	21	21.0	inf	1918	0	0	0	0	[74.0, 21.0]	R-MAT	50	25	83	gexf	64.4285714285714	3.06802721088435	0.5
3496	cut	cap	first	R-MAT.50.5.84.gexf	50	180	2	1	[7, 7, 7, 7]	14	5	8.0	5.0	2100	1	0	0	0	[14.0, 8.0, 5.0]	R-MAT	50	5	84	gexf	13.5	2.7	0.5
3497	cut	cap	first	R-MAT.50.5.84.gexf	50	180	3	2	[7, 7, 7, 7]	14	4	7.0	4.0	3615	2	0	0	0	[14.0, 7.0, 5.0, 4.0]	R-MAT	50	5	84	gexf	10	2.5	0.5
3498	cut	cap	first	R-MAT.50.5.84.gexf	50	180	5	3	[7, 7, 7, 7]	14	5	5.0	inf	5088	0	0	0	0	[14.0, 5.0]	R-MAT	50	5	84	gexf	7.5	1.5	0
3501	cut	cap	first	R-MAT.50.10.84.gexf	50	320	2	1	[10, 10, 10, 10]	15	10	10.0	inf	2059	0	0	0	0	[15.0, 10.0]	R-MAT	50	10	84	gexf	15	1.5	0.5
3502	cut	cap	first	R-MAT.50.10.84.gexf	50	320	3	2	[10, 10, 10, 10]	15	8	8.0	inf	2579	0	0	0	0	[15.0, 8.0]	R-MAT	50	10	84	gexf	15	1.875	0.5
3503	cut	cap	first	R-MAT.50.10.84.gexf	50	320	5	3	[10, 10, 10, 10]	15	6	6.0	inf	3469	0	0	0	0	[15.0, 6.0]	R-MAT	50	10	84	gexf	14.4	2.4	0
3506	cut	cap	first	R-MAT.50.25.84.gexf	50	567	2	1	[21, 21, 21, 21]	67	46	46.0	inf	544	0	0	0	0	[67.0, 46.0]	R-MAT	50	25	84	gexf	67	1.45652173913043	0.5
3507	cut	cap	first	R-MAT.50.25.84.gexf	50	567	3	2	[21, 21, 21, 21]	67	39	39.0	inf	837	0	0	0	0	[67.0, 39.0]	R-MAT	50	25	84	gexf	67	1.71794871794872	0.5
3508	cut	cap	first	R-MAT.50.25.84.gexf	50	567	5	3	[21, 21, 21, 21]	67	29	29.0	inf	631	0	0	0	0	[67.0, 29.0]	R-MAT	50	25	84	gexf	63.6	2.19310344827586	0.5
3509	cut	cap	first	R-MAT.50.25.84.gexf	50	567	10	4	[21, 21, 21, 21]	67	15	15.0	inf	1468	0	0	0	0	[67.0, 15.0]	R-MAT	50	25	84	gexf	53.1666666666667	3.54444444444444	0.5
3511	cut	cap	first	R-MAT.50.5.85.gexf	50	190	2	1	[12, 12, 12, 12]	13	10	10.0	inf	3905	0	0	0	0	[13.0, 10.0]	R-MAT	50	5	85	gexf	13	1.3	0.5
3512	cut	cap	first	R-MAT.50.5.85.gexf	50	190	3	2	[12, 12, 12, 12]	13	9	9.0	inf	4027	0	0	0	0	[13.0, 9.0]	R-MAT	50	5	85	gexf	13	1.44444444444444	0.5
3513	cut	cap	first	R-MAT.50.5.85.gexf	50	190	5	3	[12, 12, 12, 12]	13	7	7.0	inf	4563	0	0	0	0	[13.0, 7.0]	R-MAT	50	5	85	gexf	13	1.85714285714286	0.5
3514	cut	cap	first	R-MAT.50.5.85.gexf	50	190	10	4	[12, 12, 12, 12]	13	2	2.0	inf	5361	0	0	0	0	[13.0, 2.0]	R-MAT	50	5	85	gexf	12.1	6.05	0.5
3516	cut	cap	first	R-MAT.50.10.85.gexf	50	317	2	1	[14, 14, 14, 14]	30	23	23.0	inf	1222	0	0	0	0	[30.0, 23.0]	R-MAT	50	10	85	gexf	30	1.30434782608696	0.5
3517	cut	cap	first	R-MAT.50.10.85.gexf	50	317	3	2	[14, 14, 14, 14]	30	20	20.0	inf	1276	0	0	0	0	[30.0, 20.0]	R-MAT	50	10	85	gexf	30	1.5	0.5
3518	cut	cap	first	R-MAT.50.10.85.gexf	50	317	5	3	[14, 14, 14, 14]	30	14	14.0	inf	1570	0	0	0	0	[30.0, 14.0]	R-MAT	50	10	85	gexf	30	2.14285714285714	0.5
3519	cut	cap	first	R-MAT.50.10.85.gexf	50	317	10	4	[14, 14, 14, 14]	30	4	7.0	4.0	2427	3	0	0	0	[30.0, 7.0, 6.0, 5.0, 4.0]	R-MAT	50	10	85	gexf	24.2	6.05	0.5
3521	cut	cap	first	R-MAT.50.25.85.gexf	50	608	2	1	[25, 25, 25, 25]	76	54	54.0	inf	283	0	0	0	0	[76.0, 54.0]	R-MAT	50	25	85	gexf	76	1.40740740740741	0.5
3522	cut	cap	first	R-MAT.50.25.85.gexf	50	608	3	2	[25, 25, 25, 25]	76	45	45.0	inf	334	0	0	0	0	[76.0, 45.0]	R-MAT	50	25	85	gexf	76	1.68888888888889	0.5
3523	cut	cap	first	R-MAT.50.25.85.gexf	50	608	5	3	[25, 25, 25, 25]	76	31	31.0	inf	532	0	0	0	0	[76.0, 31.0]	R-MAT	50	25	85	gexf	76	2.45161290322581	0.5
3524	cut	cap	first	R-MAT.50.25.85.gexf	50	608	10	4	[25, 25, 25, 25]	76	18	18.0	inf	1493	0	0	0	0	[76.0, 18.0]	R-MAT	50	25	85	gexf	56.8333333333333	3.15740740740741	0.5
3526	cut	cap	first	R-MAT.50.5.86.gexf	50	187	2	1	[9, 9, 9, 9]	15	9	10.0	9.0	2126	1	0	0	0	[15.0, 10.0, 9.0]	R-MAT	50	5	86	gexf	15	1.66666666666667	0.5
3527	cut	cap	first	R-MAT.50.5.86.gexf	50	187	3	2	[9, 9, 9, 9]	15	7	8.0	7.0	3064	1	0	0	0	[15.0, 8.0, 7.0]	R-MAT	50	5	86	gexf	15	2.14285714285714	0.5
3528	cut	cap	first	R-MAT.50.5.86.gexf	50	187	5	3	[9, 9, 9, 9]	15	5	5.0	inf	4995	0	0	0	0	[15.0, 5.0]	R-MAT	50	5	86	gexf	13.5	2.7	0
3531	cut	cap	first	R-MAT.50.10.86.gexf	50	310	2	1	[17, 17, 17, 17]	35	23	23.0	inf	1043	0	0	0	0	[35.0, 23.0]	R-MAT	50	10	86	gexf	35	1.52173913043478	0.5
3532	cut	cap	first	R-MAT.50.10.86.gexf	50	310	3	2	[17, 17, 17, 17]	35	20	20.0	inf	1777	0	0	0	0	[35.0, 20.0]	R-MAT	50	10	86	gexf	35	1.75	0.5
3533	cut	cap	first	R-MAT.50.10.86.gexf	50	310	5	3	[17, 17, 17, 17]	35	15	16.0	15.0	1907	1	0	0	0	[35.0, 16.0, 15.0]	R-MAT	50	10	86	gexf	32.4	2.16	0.5
3534	cut	cap	first	R-MAT.50.10.86.gexf	50	310	10	4	[17, 17, 17, 17]	35	9	11.0	9.0	3227	2	0	0	0	[35.0, 11.0, 10.0, 9.0]	R-MAT	50	10	86	gexf	26.7142857142857	2.96825396825397	0
3536	cut	cap	first	R-MAT.50.25.86.gexf	50	581	2	1	[22, 22, 22, 22]	69	47	47.0	inf	484	0	0	0	0	[69.0, 47.0]	R-MAT	50	25	86	gexf	69	1.46808510638298	0.5
